subject ID,condition,rotationAngle_x,rotationAngle_y,rotationAngle_z,acceleration,time stamp
Martes6,VideoCenteredNoDelay,0,0,0,0,-0.0003139115
Martes6,VideoCenteredNoDelay,13.71838,3.418904,7.134911,-0.03846645,0.03968609
Martes6,VideoCenteredNoDelay,13.57926,3.383464,7.020995,-0.08454418,0.08708334
Martes6,VideoCenteredNoDelay,13.50218,3.376758,7.007832,-0.03586769,0.132809
Martes6,VideoCenteredNoDelay,13.36857,3.376948,6.975461,-0.02651501,0.1812146
Martes6,VideoCenteredNoDelay,13.18109,3.350501,6.912597,-0.02865601,0.2384084
Martes6,VideoCenteredNoDelay,13.0415,3.30646,6.857562,-0.03182793,0.2833026
Martes6,VideoCenteredNoDelay,12.82233,3.295657,6.761524,-0.03712654,0.3386413
Martes6,VideoCenteredNoDelay,12.53204,3.24042,6.602739,-0.08449173,0.3834734
Martes6,VideoCenteredNoDelay,12.13099,3.169671,6.382574,-0.0579567,0.4386122
Martes6,VideoCenteredNoDelay,11.81363,3.150719,6.132274,-0.1016455,0.4823699
Martes6,VideoCenteredNoDelay,11.56497,3.281345,5.90962,0.005634308,0.5394065
Martes6,VideoCenteredNoDelay,11.59003,3.350226,5.837036,0.002996445,0.5814804
Martes6,VideoCenteredNoDelay,11.99539,3.226377,4.84485,-0.05822754,0.6369179
Martes6,VideoCenteredNoDelay,13.11213,2.635682,4.413925,0.2940674,0.6823283
Martes6,VideoCenteredNoDelay,18.92906,2.7845,0.5209777,1.335146,0.7377065
Martes6,VideoCenteredNoDelay,25.762,2.995471,0.3477479,-334.4013,0.7824301
Martes6,VideoCenteredNoDelay,24.87139,1.637403,0.04708173,-335.8222,0.8375974
Martes6,VideoCenteredNoDelay,24.73192,1.484487,0.3207409,0.005048752,0.882877
Martes6,VideoCenteredNoDelay,23.81268,2.587253,1.283647,-0.05766869,0.9365366
Martes6,VideoCenteredNoDelay,21.5092,3.935313,2.529384,-0.8391819,0.9814515
Martes6,VideoCenteredNoDelay,17.21056,3.730279,1.007847,-0.5717945,1.036059
Martes6,VideoCenteredNoDelay,14.78196,5.134728,359.909,-0.0736084,1.081221
Martes6,VideoCenteredNoDelay,11.27814,4.935491,0.2531531,-0.6538305,1.135691
Martes6,VideoCenteredNoDelay,9.121458,3.915252,0.3831574,-0.6295414,1.180971
Martes6,VideoCenteredNoDelay,6.48558,2.245238,0.2168251,-0.620296,1.23602
Martes6,VideoCenteredNoDelay,5.797746,1.153663,0.2911464,0.0855217,1.280182
Martes6,VideoCenteredNoDelay,6.644831,1.36698,359.9767,0.02438354,1.335593
Martes6,VideoCenteredNoDelay,6.58522,1.054561,0.1294277,-353.3604,1.38001
Martes6,VideoCenteredNoDelay,5.792971,1.369573,359.5272,-0.2148132,1.434056
Martes6,VideoCenteredNoDelay,4.259686,1.440607,359.1645,0.004272461,1.490968
