subject ID,age,gender,handedness,condition,question ID,value
Martes6,30,Female,Left handed,VideoCenteredNoDelay,0,0.8542911
Martes6,30,Female,Left handed,VideoCenteredNoDelay,1,0.3864755
Martes6,30,Female,Left handed,VideoCenteredNoDelay,2,0.724134
Martes6,30,Female,Left handed,VideoCenteredNoDelay,3,0.4963638
Martes6,30,Female,Left handed,VideoCenteredNoDelay,4,0.9603835
Martes6,30,Female,Left handed,VideoCenteredNoDelay,5,0.4550387
Martes6,30,Female,Left handed,VideoCenteredNoDelay,6,0.6591673
Martes6,30,Female,Left handed,VideoCenteredNoDelay,7,0.4472076
Martes6,30,Female,Left handed,VideoCenteredNoDelay,8,0.9114269
Martes6,30,Female,Left handed,VideoCenteredNoDelay,9,0.5145087
Martes6,30,Female,Left handed,VideoCenteredNoDelay,10,0.1432295
