subject ID,condition,rotationAngle_pitch,rotationAngle_yaw,rotationAngle_roll,acceleration,time stamp
,VideoTiltedNoDelay,0,0,0,0,0
,VideoTiltedNoDelay,0,0,0,0,0.06
,VideoTiltedNoDelay,0,0,0,0,0.1080893
,VideoTiltedNoDelay,0,0,0,0,0.1523007
,VideoTiltedNoDelay,0,0,0,0,0.2015165
,VideoTiltedNoDelay,0,0,0,0,0.2519812
,VideoTiltedNoDelay,0,0,0,0,0.3001532
,VideoTiltedNoDelay,0,0,0,0,0.3511035
,VideoTiltedNoDelay,0,0,0,0,0.4028451
,VideoTiltedNoDelay,0,0,0,0,0.4501627
,VideoTiltedNoDelay,0,0,0,0,0.5024131
,VideoTiltedNoDelay,0,0,0,0,0.5516443
,VideoTiltedNoDelay,0,0,0,0,0.6014864
,VideoTiltedNoDelay,0,0,0,0,0.6539723
,VideoTiltedNoDelay,0,0,0,0,0.7034642
,VideoTiltedNoDelay,0,0,0,0,0.7544948
,VideoTiltedNoDelay,0,0,0,0,0.8028943
,VideoTiltedNoDelay,0,0,0,0,0.8526009
,VideoTiltedNoDelay,0,0,0,0,0.9015215
,VideoTiltedNoDelay,0,0,0,0,0.9557342
,VideoTiltedNoDelay,0,0,0,0,1.003945
,VideoTiltedNoDelay,0,0,0,0,1.052707
,VideoTiltedNoDelay,0,0,0,0,1.101064
,VideoTiltedNoDelay,0,0,0,0,1.151059
,VideoTiltedNoDelay,0,0,0,0,1.204261
,VideoTiltedNoDelay,0,0,0,0,1.254434
,VideoTiltedNoDelay,0,0,0,0,1.302537
,VideoTiltedNoDelay,0,0,0,0,1.350736
,VideoTiltedNoDelay,0,0,0,0,1.401988
,VideoTiltedNoDelay,0,0,0,0,1.452647
,VideoTiltedNoDelay,0,0,0,0,1.501253
,VideoTiltedNoDelay,0,0,0,0,1.552132
,VideoTiltedNoDelay,0,0,0,0,1.600398
,VideoTiltedNoDelay,0,0,0,0,1.651204
,VideoTiltedNoDelay,0,0,0,0,1.702919
,VideoTiltedNoDelay,0,0,0,0,1.751116
,VideoTiltedNoDelay,0,0,0,0,1.801461
,VideoTiltedNoDelay,0,0,0,0,1.851082
,VideoTiltedNoDelay,0,0,0,0,1.902781
,VideoTiltedNoDelay,0,0,0,0,1.952315
,VideoTiltedNoDelay,0,0,0,0,2.000957
,VideoTiltedNoDelay,0,0,0,0,2.052199
,VideoTiltedNoDelay,0,0,0,0,2.101449
,VideoTiltedNoDelay,0,0,0,0,2.152032
,VideoTiltedNoDelay,0,0,0,0,2.202738
,VideoTiltedNoDelay,0,0,0,0,2.25354
subject ID,condition,rotationAngle_pitch,rotationAngle_yaw,rotationAngle_roll,acceleration,time stamp
,VideoCenteredDelay,0,0,0,0,0
,VideoCenteredDelay,0,0,0,0,0.06
,VideoCenteredDelay,0,0,0,0,0.12
,VideoCenteredDelay,0,0,0,0,0.16
subject ID,condition,rotationAngle_pitch,rotationAngle_yaw,rotationAngle_roll,acceleration,time stamp
,VideoCenteredDelay,0,0,0,0,0
,VideoCenteredDelay,0,0,0,0,0.06
,VideoCenteredDelay,0,0,0,0,0.1079004
,VideoCenteredDelay,0,0,0,0,0.1576462
,VideoCenteredDelay,0,0,0,0,0.2006534
,VideoCenteredDelay,0,0,0,0,0.26
,VideoCenteredDelay,0,0,0,0,0.32
,VideoCenteredDelay,0,0,0,0,0.36
,VideoCenteredDelay,0,0,0,0,0.4159709
,VideoCenteredDelay,0,0,0,0,0.4573248
,VideoCenteredDelay,0,0,0,0,0.52
,VideoCenteredDelay,0,0,0,0,0.56
,VideoCenteredDelay,0,0,0,0,0.62
,VideoCenteredDelay,0,0,0,0,0.66
,VideoCenteredDelay,0,0,0,0,0.7097242
,VideoCenteredDelay,0,0,0,0,0.7529423
,VideoCenteredDelay,0,0,0,0,0.82
,VideoCenteredDelay,0,0,0,0,0.86
,VideoCenteredDelay,0,0,0,0,0.9189001
,VideoCenteredDelay,0,0,0,0,0.96
,VideoCenteredDelay,0,0,0,0,1.002173
,VideoCenteredDelay,0,0,0,0,1.06
,VideoCenteredDelay,0,0,0,0,1.12
,VideoCenteredDelay,0,0,0,0,1.16
,VideoCenteredDelay,0,0,0,0,1.22
,VideoCenteredDelay,0,0,0,0,1.26
,VideoCenteredDelay,0,0,0,0,1.32
,VideoCenteredDelay,0,0,0,0,1.36
,VideoCenteredDelay,0,0,0,0,1.42
,VideoCenteredDelay,0,0,0,0,1.4554
,VideoCenteredDelay,0,0,0,0,1.52
,VideoCenteredDelay,0,0,0,0,1.56
,VideoCenteredDelay,0,0,0,0,1.613512
,VideoCenteredDelay,0,0,0,0,1.66
,VideoCenteredDelay,0,0,0,0,1.72
,VideoCenteredDelay,0,0,0,0,1.76
,VideoCenteredDelay,0,0,0,0,1.810058
,VideoCenteredDelay,0,0,0,0,1.86
,VideoCenteredDelay,0,0,0,0,1.92
,VideoCenteredDelay,0,0,0,0,1.96
,VideoCenteredDelay,0,0,0,0,2.02
,VideoCenteredDelay,0,0,0,0,2.05054
,VideoCenteredDelay,0,0,0,0,2.12
,VideoCenteredDelay,0,0,0,0,2.16
,VideoCenteredDelay,0,0,0,0,2.22
,VideoCenteredDelay,0,0,0,0,2.26
,VideoCenteredDelay,0,0,0,0,2.32
,VideoCenteredDelay,0,0,0,0,2.36
,VideoCenteredDelay,0,0,0,0,2.404841
,VideoCenteredDelay,0,0,0,0,2.46
,VideoCenteredDelay,0,0,0,0,2.52
,VideoCenteredDelay,0,0,0,0,2.56
,VideoCenteredDelay,0,0,0,0,2.606729
,VideoCenteredDelay,0,0,0,0,2.66
,VideoCenteredDelay,0,0,0,0,2.72
